x,y
60,20
100,20
140,20
180,20
180,60
180,100
220,100
260,100
300,100
340,100
380,100
420,100
420,60
420,20
460,20
500,20
540,20
580,20
580,60
580,100
620,100
660,100
660,140
660,180
700,180
740,180
740,220
740,260
740,300
740,340
740,380
740,420
740,460
740,500
700,500
660,500
660,460
660,420
620,420
580,420
580,380
580,340
580,300
580,260
580,220
580,180
540,180
500,180
500,220
500,260
460,260
420,260
380,260
340,260
340,220
340,180
300,180
260,180
220,180
180,180
140,180
100,180
100,220
100,260
60,260
20,260
20,300
20,340
20,380
20,420
20,380
20,340
20,300
20,260
20,220
20,180
20,220
20,260
20,300
20,260
20,220
20,260
20,300
20,260
20,220
20,260
20,300
20,260
60,260
100,260
100,220
100,180
140,180
180,180
220,180
260,180
300,180
340,180
380,180
420,180
380,180
340,180
300,180
260,180
300,180
340,180
340,220
340,260
380,260
420,260
460,260
500,260
500,220
500,180
540,180
580,180
580,220
580,260
580,300
580,340
580,380
580,420
620,420
660,420
660,460
660,500
700,500
740,500
740,460
740,420
740,380
740,340
740,300
740,260
740,220
740,180
740,140
740,100
740,60
740,20
700,20
660,20
700,20
740,20
740,60
740,100
740,140
740,180
740,220
740,260
740,300
740,340
740,380
740,420
740,460
740,500
700,500
660,500
660,460
660,420
620,420
580,420
580,380
580,340
580,300
580,260
580,220
580,180
540,180
500,180
500,220
500,260
460,260
420,260
380,260
340,260
340,220
340,180
300,180
260,180
220,180
180,180
140,180
100,180
100,220
100,260
60,260
20,260
20,300
20,340
20,380
20,420
20,380
20,340
20,300
20,260
60,260
100,260
100,220
100,180
140,180
180,180
220,180
260,180
300,180
340,180
380,180
340,180
300,180
340,180
340,220
340,260
380,260
420,260
460,260
500,260
500,220
500,180
540,180
580,180
580,220
580,260
580,300
580,340
580,380
580,420
620,420
660,420
660,460
660,500
700,500
740,500
740,460
740,420
740,380
740,340
740,300
740,260
740,220
740,180
700,180
660,180
660,140
660,100
620,100
580,100
580,60
580,20
540,20
500,20
460,20
420,20
380,20
340,20
300,20
340,20
380,20
420,20
460,20
500,20
540,20
580,20
580,60
580,100
620,100
660,100
660,140
660,180
700,180
740,180
740,220
740,260
740,300
740,340
740,380
740,420
740,460
740,500
700,500
660,500
660,460
660,420
620,420
580,420
580,380
580,340
580,300
580,260
580,220
580,180
540,180
500,180
500,220
500,260
460,260
420,260
380,260
340,260
340,220
340,180
300,180
260,180
220,180
180,180
220,180
260,180
300,180
340,180
380,180
340,180
300,180
340,180
380,180
340,180
340,220
340,260
380,260
420,260
460,260
500,260
500,220
500,180
500,140
500,180
540,180
580,180
580,220
580,260
580,300
580,340
580,380
580,420
620,420
660,420
660,460
660,500
700,500
740,500
740,460
740,420
740,380
740,340
740,300
740,340
740,380
740,420
740,460
740,500
700,500
660,500
660,460
660,420
620,420
580,420
580,380
580,340
580,300
580,260
580,220
580,180
540,180
500,180
500,220
500,260
460,260
420,260
380,260
340,260
340,220
340,180
300,180
260,180
220,180
180,180
140,180
100,180
140,180
180,180
220,180
260,180
300,180
340,180
380,180
340,180
300,180
340,180
380,180
340,180
300,180
260,180
300,180
340,180
380,180
340,180
380,180
340,180
300,180
340,180
340,220
340,260
380,260
420,260
460,260
500,260
500,220
500,180
540,180
580,180
580,220
580,260
580,300
580,340
580,380
580,420
620,420
660,420
660,460
660,500
700,500
740,500
740,460
740,420
740,380
740,340
740,300
740,260
740,220
740,180
740,140
740,180
700,180
660,180
660,140
660,100
620,100
580,100
580,60
580,20
540,20
500,20
460,20
420,20
380,20
340,20
300,20
260,20
300,20
340,20
380,20
420,20
460,20
500,20
540,20
580,20
580,60
580,100
620,100
660,100
660,140
660,180
700,180
740,180
740,220
740,260
740,300
740,340
740,380
740,420
740,460
740,500
700,500
660,500
660,460
660,420
620,420
580,420
580,380
580,340
580,300
580,260
580,220
580,180
540,180
500,180
500,220
500,260
460,260
420,260
380,260
340,260
340,220
340,180
300,180
260,180
220,180
180,180
140,180
100,180
100,220
100,260
60,260
20,260
20,300
20,340
20,380
20,420
60,420
100,420
140,420
180,420
180,460
180,500
140,500
100,500
100,540
100,580
140,580
180,580
220,580
260,580
300,580
340,580
380,580
420,580
460,580
500,580
500,540
500,500
500,460
500,500
500,540
500,500
500,460
500,500
540,500
580,500
580,540
580,580
620,580
660,580
700,580
660,580
620,580
580,580
580,540
580,500
540,500
500,500
500,460
500,420
500,380
500,340
460,340
420,340
420,380
420,420
420,460
420,500
420,460
420,420
420,380
420,340
460,340
500,340
500,380
500,420
500,460
500,500
500,540
500,580
460,580
420,580
380,580
340,580
300,580
260,580
220,580
180,580
140,580
100,580
60,580
100,580
100,540
100,500
140,500
180,500
180,460
180,420
140,420
100,420
60,420
20,420
20,380
20,340
20,300
20,260
60,260
100,260
100,220
100,180
140,180
180,180
220,180
260,180
300,180
340,180
340,220
340,260
380,260
420,260
460,260
500,260
500,220
500,180
500,140
500,180
500,220
500,260
460,260
420,260
380,260
340,260
340,220
340,180
300,180
260,180
220,180
180,180
140,180
100,180
100,220
100,260
60,260
20,260
20,300
20,340
20,380
20,420
60,420
100,420
140,420
180,420
180,460
180,500
140,500
100,500
100,540
100,580
140,580
180,580
220,580
260,580
300,580
340,580
380,580
420,580
460,580
500,580
500,540
500,500
500,460
500,420
500,380
500,340
460,340
420,340
420,380
420,420
420,460
420,500
380,500
340,500
300,500
260,500
260,460
260,420
260,380
260,340
300,340
340,340
