x,y
60,20
100,20
140,20
180,20
180,60
180,100
220,100
260,100
260,140
260,180
300,180
340,180
340,220
340,260
380,260
420,260
460,260
500,260
500,300
500,340
540,340
580,340
580,380
580,420
620,420
660,420
660,380
660,340
700,340
740,340
740,380
740,420
740,460
740,500
700,500
660,500
660,540
660,580
700,580
740,580
700,580
660,580
620,580
580,580
580,540
580,500
540,500
500,500
500,540
500,580
500,540
500,500
540,500
580,500
580,540
580,580
620,580
660,580
700,580
740,580
700,580
660,580
620,580
580,580
620,580
660,580
700,580
740,580
700,580
660,580
620,580
660,580
700,580
740,580
700,580
660,580
660,540
660,500
700,500
740,500
700,500
660,500
660,540
660,580
700,580
740,580
