Cue,Response,Correct,Reaction Time,Game Time
left,none,False,N/A,1.03
left,none,False,0.796,2.82
right,right,True,0.496,4.54
right,right,True,0.495,6.57
right,right,True,0.464,8.55
right,right,True,0.398,10.51
left,left,True,0.332,12.47
right,right,True,0.464,14.63
right,right,True,0.396,16.58
right,right,True,0.33,18.53
left,left,True,0.365,20.58
left,left,True,0.33,22.57
right,right,True,0.33,24.59
right,right,True,0.331,26.61
left,left,True,0.298,28.6
right,right,True,0.267,30.59
right,right,True,0.3,32.65
left,left,True,0.299,34.67
left,left,True,0.298,36.69
left,left,True,0.364,38.78
left,left,True,0.363,40.8
right,right,True,0.297,42.75
right,right,True,0.265,44.74
left,left,True,0.265,46.76
right,right,True,0.297,48.81
right,right,True,0.332,50.87
left,left,True,0.232,52.79
left,left,True,0.365,54.95
left,left,True,0.298,56.9
right,right,True,0.264,58.89
