x,y
60,20
100,20
100,60
100,100
140,100
180,100
180,60
180,20
220,20
260,20
260,60
260,100
260,140
260,180
300,180
340,180
380,180
420,180
460,180
500,180
500,220
500,260
500,300
500,340
500,380
500,420
500,460
500,500
500,540
500,580
540,580
580,580
620,580
660,580
660,540
660,500
620,500
580,500
580,460
580,420
620,420
660,420
660,380
660,340
620,340
580,340
580,300
580,260
580,220
580,180
620,180
660,180
660,140
660,100
660,60
660,20
700,20
740,20
740,60
740,100
740,140
740,180
740,220
740,260
740,300
740,340
740,380
740,420
740,460
740,500
740,540
740,580
740,540
740,500
740,460
740,420
740,380
740,340
740,300
740,260
740,220
740,180
740,140
740,100
740,60
740,20
700,20
660,20
620,20
580,20
580,60
580,100
540,100
500,100
500,60
500,20
460,20
420,20
380,20
340,20
340,60
340,100
340,60
340,20
380,20
420,20
460,20
500,20
500,60
500,100
540,100
580,100
580,60
580,20
620,20
660,20
700,20
740,20
740,60
740,100
740,140
740,180
740,220
740,260
740,300
740,340
740,380
740,420
740,460
740,500
740,540
740,580
