Cue,Response,Correct,Reaction Time,Game Time
circle,left,True,0.703,0.7
square,right,True,0.531,1.53
triangle,right,True,0.432,2.46
hexagon,left,False,0.398,3.46
hexagon,right,True,0.529,4.62
triangle,right,True,0.499,5.62
circle,left,True,0.535,6.68
circle,left,True,0.397,7.54
triangle,right,True,0.432,8.61
triangle,left,False,0.397,9.6
square,left,False,0.629,10.87
square,right,True,0.597,11.86
triangle,right,True,0.5,12.79
hexagon,left,False,0.53,13.85
circle,left,True,0.663,15.01
square,right,True,0.598,15.97
triangle,right,True,0.563,16.97
triangle,right,True,0.464,17.9
hexagon,right,True,0.561,19.03
hexagon,right,True,0.431,19.92
hexagon,right,True,0.398,20.91
hexagon,right,True,0.497,22.04
circle,left,True,0.662,23.23
triangle,right,True,0.464,24.06
triangle,left,False,0.597,25.22
circle,left,True,0.563,26.22
hexagon,right,True,0.498,27.18
triangle,right,True,0.501,28.21
square,none,False,N/A,30.23
hexagon,right,True,1.264,31.53
square,right,True,0.53,32.09
triangle,right,True,0.53,33.12
hexagon,right,True,0.363,33.98
hexagon,right,True,0.401,35.05
hexagon,right,True,0.433,36.11
hexagon,right,True,0.365,37.05
circle,left,True,0.464,38.17
hexagon,right,True,0.397,39.14
circle,left,True,0.433,40.2
circle,left,True,0.596,41.39
circle,left,True,0.5,42.32
hexagon,right,True,0.499,43.35
triangle,right,True,0.533,44.41
hexagon,right,True,0.365,45.28
square,right,True,0.331,46.27
triangle,right,True,0.298,47.26
square,right,True,0.332,48.33
square,right,True,0.365,49.39
square,right,True,0.297,50.35
circle,left,True,0.365,51.44
square,right,True,0.332,52.43
square,right,True,0.234,53.36
square,right,True,0.265,54.43
triangle,right,True,0.265,55.45
circle,right,False,0.266,56.48
hexagon,right,True,0.298,57.54
triangle,right,True,0.265,58.54
circle,right,False,0.365,59.66
