Cue,Response,Correct,Reaction Time,Game Time
hexagon,right,True,0.769,0.77
circle,left,True,0.464,2.49
square,right,True,0.433,4.49
hexagon,right,True,0.664,6.74
circle,left,True,0.498,8.6
square,right,True,0.729,10.86
hexagon,right,True,0.497,12.65
triangle,right,True,0.597,14.77
hexagon,right,True,0.598,16.8
circle,left,True,0.333,18.56
square,right,True,0.83,21.08
triangle,right,True,0.761,23.03
triangle,none,False,N/A,25.82
square,none,False,N/A,27.85
hexagon,none,False,N/A,29.87
hexagon,none,False,N/A,31.9
triangle,none,False,N/A,33.92
hexagon,none,False,N/A,35.95
circle,left,True,0.465,36.91
square,right,True,1.126,39.6
hexagon,right,True,0.367,40.86
circle,left,True,0.638,43.15
square,right,True,0.932,45.48
circle,left,True,0.628,47.2
circle,left,True,0.432,49.02
triangle,right,True,0.563,51.18
triangle,right,True,0.397,53.04
circle,left,True,0.529,55.19
hexagon,right,True,0.896,57.58
triangle,right,True,1.06,59.77
