x,y
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,65
60,70
60,75
60,75
60,75
60,75
60,75
60,75
60,75
60,75
65,75
70,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,80
75,85
75,90
75,95
75,100
75,105
75,110
75,110
75,110
75,110
75,110
75,110
75,110
75,110
75,110
75,110
75,115
75,120
75,125
75,130
75,135
75,140
75,145
75,145
75,145
80,145
85,145
90,145
95,145
100,145
105,145
110,145
115,145
120,145
125,145
130,145
135,145
140,145
145,145
145,145
145,145
145,140
145,135
145,130
145,125
145,120
145,115
145,110
145,105
145,100
145,95
145,90
145,85
145,80
145,75
145,75
150,75
155,75
160,75
165,75
170,75
175,75
180,75
185,75
190,75
195,75
200,75
205,75
210,75
215,75
220,75
225,75
230,75
235,75
240,75
245,75
250,75
255,75
260,75
265,75
270,75
275,75
280,75
285,75
290,75
295,75
300,75
305,75
305,80
305,85
305,90
305,95
305,100
305,105
305,110
305,115
305,120
305,125
300,130
295,130
290,130
285,130
280,130
275,130
270,130
265,130
260,130
255,130
250,130
245,130
240,130
235,130
230,130
